date,pce,pop,psavert,uempmed,unemploy,class
01/12/1986,2997.1,241620,7,7.1,7883,Train
01/01/1987,2935.5,241784,9.7,6.9,7892,Train
01/02/1987,3001.7,241930,8.5,6.6,7865,Train
01/03/1987,3013.3,242079,8.5,6.6,7862,Train
01/04/1987,3038.8,242252,4.5,7.1,7542,Train
01/05/1987,3048.4,242423,8.2,6.6,7574,Train
01/06/1987,3072.8,242608,7.7,6.5,7398,Train
01/07/1987,3094.7,242804,7.5,6.5,7268,Train
01/08/1987,3130.8,243012,7.2,6.4,7261,Train
01/09/1987,3126.5,243223,7.6,6,7102,Train
01/10/1987,3134.5,243446,8.3,6.3,7227,Train
01/11/1987,3144.2,243639,8.5,6.2,7035,Train
01/12/1987,3174.1,243809,8.7,6,6936,Train
01/01/1988,3213.7,243981,8.1,6.2,6953,Train
01/02/1988,3221.4,244131,8.6,6.3,6929,Train
01/03/1988,3260.5,244279,8.2,6.4,6876,Train
01/04/1988,3263,244445,8.8,5.9,6601,Train
01/05/1988,3293.6,244610,8.4,5.9,6779,Train
01/06/1988,3318.5,244806,8.4,5.8,6546,Train
01/07/1988,3342.7,245021,8.6,6.1,6605,Train
01/08/1988,3368,245240,8.4,5.9,6843,Train
01/09/1988,3375,245464,8.9,5.7,6604,Train
01/10/1988,3413.7,245693,8.6,5.6,6568,Train
01/11/1988,3430.2,245884,8.4,5.7,6537,Train
01/12/1988,3459.7,246056,8.3,5.9,6518,Train
01/01/1989,3483.7,246224,8.5,5.6,6682,Train
01/02/1989,3488,246378,9,5.4,6359,Train
01/03/1989,3498.8,246530,9.5,5.4,6205,Train
01/04/1989,3543,246721,8.4,5.4,6468,Train
01/05/1989,3551.8,246906,8.1,5.3,6375,Train
01/06/1989,3566.6,247114,8.2,5.4,6577,Train
01/07/1989,3585.7,247342,8.2,5.6,6495,Train
01/08/1989,3620.6,247573,7.6,5,6511,Train
01/09/1989,3621.9,247816,8.1,4.9,6590,Train
01/10/1989,3633.6,248067,8.5,4.9,6630,Train
01/11/1989,3643.3,248281,8.6,4.8,6725,Train
01/12/1989,3684.2,248479,7.8,4.9,6667,Train
01/01/1990,3730.7,248659,8,5.1,6752,Train
01/02/1990,3728.2,248827,8.6,5.3,6651,Train
01/03/1990,3754.9,249012,8.3,5.1,6598,Train
01/04/1990,3770,249306,8.8,4.8,6797,Train
01/05/1990,3775.8,249565,8.7,5.2,6742,Train
01/06/1990,3804.5,249849,8.6,5.2,6590,Train
01/07/1990,3821.7,250132,8.7,5.4,6922,Train
01/08/1990,3848.3,250439,8.1,5.4,7188,Train
01/09/1990,3870.1,250751,8.1,5.6,7368,Train
01/10/1990,3870.6,251057,7.8,5.8,7459,Train
01/11/1990,3871.9,251346,7.9,5.7,7764,Train
01/12/1990,3861.3,251626,8.8,5.9,7901,Train
01/01/1991,3841,251889,9.3,6,8015,Train
01/02/1991,3866.7,252135,8.8,6.2,8265,Train
01/03/1991,3913,252372,8,6.7,8586,Train
01/04/1991,3907.1,252643,8.6,6.6,8439,Train
01/05/1991,3933.2,252913,8.4,6.4,8736,Train
01/06/1991,3940.5,253207,8.9,6.9,8692,Train
01/07/1991,3966,253493,8.2,7,8586,Train
01/08/1991,3969.1,253807,8.6,7.3,8666,Train
01/09/1991,3984.7,254126,8.8,6.8,8722,Train
01/10/1991,3976,254435,9.3,7.2,8842,Train
01/11/1991,4003.6,254718,9,7.5,8931,Train
01/12/1991,4020.5,254964,9.7,7.8,9198,Train
01/01/1992,4084.7,255214,9.4,8.1,9283,Train
01/02/1992,4099.5,255448,9.8,8.2,9454,Train
01/03/1992,4117,255703,9.7,8.3,9460,Train
01/04/1992,4131.5,255992,9.9,8.5,9415,Train
01/05/1992,4158.4,256285,9.9,8.8,9744,Train
01/06/1992,4177.1,256589,10.1,8.7,10040,Train
01/07/1992,4204.8,256894,9.6,8.6,9850,Train
01/08/1992,4220.9,257232,9.7,8.8,9787,Train
01/09/1992,4255.3,257548,8.7,8.6,9781,Train
01/10/1992,4284.7,257861,8,9,9398,Train
01/11/1992,4300.5,258147,8,9,9565,Train
01/12/1992,4336.4,258413,10.6,9.3,9557,Train
01/01/1993,4340.7,258679,8.6,8.6,9325,Train
01/02/1993,4355.3,258919,8.9,8.5,9183,Train
01/03/1993,4352.5,259152,8.9,8.5,9056,Train
01/04/1993,4393.4,259414,8.7,8.4,9110,Train
01/05/1993,4422.4,259680,8.3,8.1,9149,Train
01/06/1993,4440,259963,7.8,8.3,9121,Train
01/07/1993,4468.9,260255,7.6,8.2,8930,Train
01/08/1993,4481.1,260566,7.7,8.2,8763,Train
01/09/1993,4511.5,260867,6.9,8.3,8714,Train
01/10/1993,4532.8,261163,6.3,8,8750,Train
01/11/1993,4554.1,261425,6.3,8.3,8542,Train
01/12/1993,4571.1,261674,9.1,8.3,8477,Train
01/01/1994,4585.1,261919,7.1,8.6,8630,Train
01/02/1994,4632.6,262123,6.5,9.2,8583,Train
01/03/1994,4646,262352,6.8,9.3,8470,Train
01/04/1994,4671.1,262631,6.4,9.1,8331,Train
01/05/1994,4669.5,262877,7.6,9.2,7915,Train
01/06/1994,4708.9,263152,6.9,9.3,7927,Train
01/07/1994,4720.6,263436,7,9,7946,Train
01/08/1994,4762.6,263724,6.5,8.9,7933,Train
01/09/1994,4775,264017,6.8,9.2,7734,Train
01/10/1994,4812.9,264301,7.1,10,7632,Train
01/11/1994,4825.6,264559,7,9,7375,Train
01/12/1994,4841.6,264804,7.2,8.7,7230,Train
01/01/1995,4851.2,265044,7.5,8,7375,Train
01/02/1995,4850.8,265270,7.8,8.1,7187,Train
01/03/1995,4885.4,265495,7.5,8.3,7153,Train
01/04/1995,4890.2,265755,6.9,8.3,7645,Train
01/05/1995,4933.1,265998,7.1,9.1,7430,Train
01/06/1995,4977.5,266270,6.7,7.9,7427,Train
01/07/1995,4970.2,266557,7.1,8.5,7527,Train
01/08/1995,5005.3,266843,6.7,8.3,7484,Train
01/09/1995,5020.5,267152,6.8,7.9,7478,Train
01/10/1995,5013.9,267456,7.1,8.2,7328,Train
01/11/1995,5055.6,267715,6.6,8,7426,Train
01/12/1995,5097.5,267943,6.1,8.3,7423,Train
01/01/1996,5085.7,268151,6.7,8.3,7491,Train
01/02/1996,5132.8,268364,6.7,7.8,7313,Train
01/03/1996,5173.3,268595,6.6,8.3,7318,Train
01/04/1996,5208,268853,5.7,8.6,7415,Train
01/05/1996,5223.8,269108,6.7,8.6,7423,Train
01/06/1996,5229.8,269386,7.1,8.3,7095,Train
01/07/1996,5251.9,269667,6.7,8.3,7337,Train
01/08/1996,5275,269976,6.6,8.4,6882,Train
01/09/1996,5296.6,270284,6.7,8.5,6979,Train
01/10/1996,5328.5,270581,6.4,8.3,7031,Train
01/11/1996,5351.2,270878,6.4,7.7,7236,Train
01/12/1996,5378.6,271125,6.4,7.8,7253,Train
01/01/1997,5411.1,271360,6.2,7.8,7158,Train
01/02/1997,5434,271585,6.2,8.1,7102,Train
01/03/1997,5454.2,271821,6.4,7.9,7000,Train
01/04/1997,5459.3,272083,6.5,8.3,6873,Train
01/05/1997,5460.2,272342,6.8,8,6655,Train
01/06/1997,5494.2,272622,6.6,8,6799,Train
01/07/1997,5548.8,272912,6.1,8.3,6655,Train
01/08/1997,5587,273237,6,7.8,6608,Train
01/09/1997,5601.7,273553,6.2,8.2,6656,Train
01/10/1997,5637.7,273852,6.2,7.7,6454,Train
01/11/1997,5661.1,274126,6.4,7.6,6308,Train
01/12/1997,5692.1,274372,6.4,7.5,6476,Train
01/01/1998,5689.9,274626,7.4,7.4,6368,Train
01/02/1998,5723.8,274838,7.4,7,6306,Train
01/03/1998,5750.3,275047,7.5,6.8,6422,Train
01/04/1998,5788.1,275304,7.2,6.7,5941,Train
01/05/1998,5837.9,275564,6.9,6,6047,Train
01/06/1998,5871.7,275836,6.8,6.9,6212,Train
01/07/1998,5890,276115,6.9,6.7,6259,Train
01/08/1998,5925,276418,6.8,6.8,6179,Train
01/09/1998,5965.6,276714,6.4,6.7,6300,Train
01/10/1998,5998.8,277003,6.2,5.8,6280,Train
01/11/1998,6015.4,277277,6.3,6.6,6100,Train
01/12/1998,6070.5,277526,5.8,6.8,6032,Train
01/01/1999,6072.9,277790,6.4,6.9,5976,Train
01/02/1999,6101.8,277992,6.2,6.8,6111,Train
01/03/1999,6132.9,278198,5.9,6.8,5783,Train
01/04/1999,6196.2,278451,5.2,6.2,6004,Train
01/05/1999,6225.7,278717,4.9,6.5,5796,Train
01/06/1999,6254,279001,4.8,6.3,5951,Train
01/07/1999,6281.5,279295,4.8,5.8,6025,Train
01/08/1999,6326.5,279602,4.7,6.5,5838,Train
01/09/1999,6378.8,279903,4.2,6,5915,Train
01/10/1999,6402.1,280203,4.6,6.1,5778,Train
01/11/1999,6437.9,280471,4.8,6.2,5716,Train
01/12/1999,6538.7,280716,4.4,5.8,5653,Train
01/01/2000,6535.3,280976,5.4,5.8,5708,Train
01/02/2000,6619.7,281190,4.8,6.1,5858,Train
01/03/2000,6685.8,281409,4.5,6,5733,Train
01/04/2000,6671.1,281653,5,6.1,5481,Train
01/05/2000,6707.6,281877,4.9,5.8,5758,Train
01/06/2000,6743.9,282126,4.9,5.7,5651,Train
01/07/2000,6764.1,282385,5.2,6,5747,Train
01/08/2000,6799.1,282653,5.2,6.3,5853,Train
01/09/2000,6882.9,282932,4.5,5.2,5625,Train
01/10/2000,6888.2,283201,4.6,6.1,5534,Train
01/11/2000,6902.4,283453,4.5,6.1,5639,Train
01/12/2000,6945.7,283696,4.2,6,5634,Train
01/01/2001,6977,283920,4.8,5.8,6023,Train
01/02/2001,6995.8,284137,4.9,6.1,6089,Train
01/03/2001,6987.9,284350,5.3,6.6,6141,Train
01/04/2001,7001.2,284581,5,5.9,6271,Train
01/05/2001,7047.1,284810,4.5,6.3,6226,Train
01/06/2001,7060.7,285062,4.5,6,6484,Train
01/07/2001,7072.2,285309,5.6,6.8,6583,Train
01/08/2001,7108.9,285570,6.8,6.9,7042,Train
01/09/2001,7012.8,285843,7,7.2,7142,Train
01/10/2001,7208.4,286098,3.4,7.3,7694,Train
01/11/2001,7167.9,286341,4.1,7.7,8003,Train
01/12/2001,7147.7,286570,4.5,8.2,8258,Train
01/01/2002,7174.3,286788,6.1,8.4,8182,Train
01/02/2002,7218.3,286994,5.8,8.3,8215,Train
01/03/2002,7237.2,287190,5.9,8.4,8304,Train
01/04/2002,7305.4,287397,5.8,8.9,8599,Train
01/05/2002,7282.7,287623,6.5,9.5,8399,Train
01/06/2002,7318.2,287864,6.4,11,8393,Train
01/07/2002,7380.4,288105,5.5,8.9,8390,Train
01/08/2002,7401.5,288360,5.4,9,8304,Train
01/09/2002,7391,288618,5.7,9.5,8251,Train
01/10/2002,7430.7,288870,5.7,9.6,8307,Train
01/11/2002,7459.7,289106,5.7,9.3,8520,Train
01/12/2002,7512.8,289313,5.5,9.6,8640,Train
01/01/2003,7533.1,289518,5.5,9.6,8520,Train
01/02/2003,7535.9,289714,5.6,9.5,8618,Train
01/03/2003,7598.4,289911,5.3,9.7,8588,Train
01/04/2003,7621,290125,5.3,10.2,8842,Train
01/05/2003,7628.1,290346,5.8,9.9,8957,Train
01/06/2003,7678.6,290584,5.6,11.5,9266,Train
01/07/2003,7738.2,290820,6.3,10.3,9011,Train
01/08/2003,7834.5,291072,6,10.1,8896,Train
01/09/2003,7835,291321,5.2,10.2,8921,Train
01/10/2003,7845.7,291574,5.3,10.4,8732,Train
01/11/2003,7899.6,291807,5.4,10.3,8576,Train
01/12/2003,7929.2,292008,5.4,10.4,8317,Train
01/01/2004,7987.4,292192,5,10.6,8370,Train
01/02/2004,8019.8,292368,5,10.2,8167,Train
01/03/2004,8076,292561,4.9,10.2,8491,Train
01/04/2004,8088.6,292779,5.3,9.5,8170,Train
01/05/2004,8163.2,292997,5.3,9.9,8212,Train
01/06/2004,8147.2,293223,5.8,11,8286,Train
01/07/2004,8218.9,293463,5.3,8.9,8136,Train
01/08/2004,8253.1,293719,5.2,9.2,7990,Train
01/09/2004,8321.1,293971,4.6,9.6,7927,Train
01/10/2004,8374.6,294230,4.5,9.5,8061,Train
01/11/2004,8420.6,294466,4.1,9.7,7932,Train
01/12/2004,8481.5,294694,6.9,9.5,7934,Train
01/01/2005,8470.2,294914,3.7,9.4,7784,Train
01/02/2005,8529.2,295105,3.4,9.2,7980,Train
01/03/2005,8569.5,295287,3.6,9.3,7737,Train
01/04/2005,8645.6,295490,3.1,9,7672,Train
01/05/2005,8643.9,295704,3.5,9.1,7651,Train
01/06/2005,8724.8,295936,2.9,9,7524,Train
01/07/2005,8829.5,296186,2.2,8.8,7406,Train
01/08/2005,8832.4,296440,2.7,9.2,7345,Train
01/09/2005,8885.8,296707,2.7,8.4,7553,Train
01/10/2005,8926.6,296972,3.1,8.6,7453,Train
01/11/2005,8938.5,297207,3.5,8.5,7566,Train
01/12/2005,8969.6,297431,3.7,8.7,7279,Train
01/01/2006,9059.8,297647,4.2,8.6,7064,Train
01/02/2006,9090.1,297854,4.2,9.1,7184,Train
01/03/2006,9122.1,298060,4.2,8.7,7072,Train
01/04/2006,9174.8,298281,4,8.4,7120,Train
01/05/2006,9215.1,298496,3.8,8.5,6980,Train
01/06/2006,9240.8,298739,4,7.3,7001,Train
01/07/2006,9322.6,298996,3.4,8,7175,Train
01/08/2006,9321.8,299263,3.6,8.4,7091,Train
01/09/2006,9354.7,299554,3.6,8,6847,Train
01/10/2006,9373.2,299835,3.6,7.9,6727,Train
01/11/2006,9380.2,300094,3.9,8.3,6872,Train
01/12/2006,9469,300340,3.7,7.5,6762,Train
01/01/2007,9516.3,300574,3.7,8.3,7116,Train
01/02/2007,9546.8,300802,4.1,8.5,6927,Train
01/03/2007,9585.1,301021,4.4,9.1,6731,Train
01/04/2007,9615.7,301254,4.2,8.6,6850,Train
01/05/2007,9651.3,301483,4,8.2,6766,Train
01/06/2007,9667.3,301739,3.8,7.7,6979,Train
01/07/2007,9709.6,302004,3.7,8.7,7149,Train
01/08/2007,9753.9,302267,3.4,8.8,7067,Train
01/09/2007,9797.9,302546,3.5,8.7,7170,Train
01/10/2007,9827,302807,3.4,8.4,7237,Train
01/11/2007,9897.8,303054,3.1,8.6,7240,Train
01/12/2007,9908.4,303287,3.6,8.4,7645,Train
01/01/2008,9930,303506,3.7,9,7685,Train
01/02/2008,9913.4,303711,4.1,8.7,7497,Train
01/03/2008,9959.4,303907,4,8.7,7822,Train
01/04/2008,9996.8,304117,3.4,9.4,7637,Train
01/05/2008,10053.8,304323,7.8,7.9,8395,Train
01/06/2008,10107.9,304556,5.5,9,8575,Train
01/07/2008,10104.7,304798,4.4,9.7,8937,Train
